bci_index,word,english_glosses,pos,bliss_url,arasaac_url,mulberry_url,sclera_url,noun_project_url,tawasol_url,current_aac_url
8521,a_,a_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8521,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/a.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/A.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20a.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Kick%20a%20ball%20(M).png,
8521,a_,a_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8521,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/a.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/A.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20a.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Kick%20a%20ball%20(M).png,
8522,b_,b_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8522,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/b.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/B.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20b.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Mrs%20(1)_2.jpg,
8523,c_,c_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8523,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/c.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/C.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20c.png,,,
8524,d_,d_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8524,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/d.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/D.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20d.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Assalamu%20Alaikom%20(F).png,
8525,e_,e_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8525,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/e.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/E.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20e.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/meals.png,
8526,f_,f_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8526,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/f.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/F.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20f.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Hair%20(F).png,
8527,g_,g_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8527,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/g.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/G.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20g.png,,,
8528,h_,h_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8528,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/h.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/H.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20h.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/First%20(F)2%20bw.png,
8529,i_,i_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8529,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I.png.varianted-skin.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/I.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/i.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/40-I%20F.png,
8530,j_,j_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8530,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/j.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/J.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20j.png,,,
8531,k_,k_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8531,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/k.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/K.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20k.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Friends%20Qatari%20(F).png,
8532,l_,l_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8532,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/l.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/L.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20l.png,,,
8533,m_,m_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8533,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/m.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/M.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20m.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Catch%20(M).png,
8534,n_,n_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8534,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/n.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/N.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20n.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/231-Assalamu%20Alaikum%20F%20bw.png,
8535,o_,o_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8535,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/o.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/O.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20o.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/blow%20nose.jpg,
8536,p_,p_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8536,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/p.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/P.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20p.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/230-Assalamu%20Alaikum%20M%20bw.png,
8537,q_,q_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8537,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/q.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/Q.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20q.png,,,
8538,r_,r_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8538,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/r.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/R.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20r.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Mrs%20(1)_2.jpg,
8539,s_,s_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8539,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/s.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/S.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20s.png,,,
8540,t_,t_(lowercase),WHITE,https://www.blissymbolics.net/refnumber/8540,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/t.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/T.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/letter%20t.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/40-I%20F.png,
